CCN2	P29279
RNF14	Q9UBS8
RNF17	Q9BXT8
RNF10	Q8N5U6
RNF11	Q9Y3C5
RNF13	O43567
REM1	O75628
REM2	Q8IYK8
RNF19	A3KCU8
RPEL1	Q2QD12
ZNF649	Q9BS31
UCHL5	Q9Y5K5
TYW3	Q6IPR3
DUOXA2	Q1HG44
MZT2A	Q6P582
MZT2B	Q6NZ67
ATRX	P46100
PMM2	O15305
UBE2F	Q969M7
PMM1	Q92871
ASS1	P00966
FHIT	P49789
SPX	Q9BT56
ZNF709	Q8N972
ZNF708	P17019
ZNF879	B4DU55
C3orf84	H3BNL1
CBX3	Q13185
ATRIP	Q8WXE1
CAMK1	Q14012
STYXL1	Q9Y6J8
SPR	P35270
C3orf85	A0A1B0GTC6
ZNF707	Q96C28
CAMK4	Q16566
ZNF704	Q6ZNC4
ZC3H10	Q96K80
RNF114	Q9Y508
RNF115	Q9Y4L5
RNF112	Q9ULX5
ZC3H14	Q6PJT7
SPN	P16150
RNF111	Q6ZNA4
NACAP1	Q9BZK3
CEACAM5	P06731
GRIN1	Q05586
ZNF322	Q6U7Q0
SP8	Q8IXZ3
SP9	P0CG40
LAS2	Q8IYD9
FAM162A	Q96A26
CBX2	Q14781
NSRP1	Q9H0G5
TAP1	Q03518
NUP98	P52948
XPC	Q01831
SP1	P08047
GRINA	Q7Z429
SP3	Q02447
NUP93	Q8N1F7
SP5	Q6BEB4
SP6	Q3SY56
SP7	Q8TDD2
TACSTD2	P09758
GOLIM4	O00461
ZNF646	O15015
OPA3	Q9H6K4
OPA1	O60313
RAB40C	Q96S21
RAB40B	Q12829
RAB40A	Q8WXH6
FAM162B	Q5T6X4
CBX1	P83916
TMOD4	Q9NZQ9
COL7A1	Q02388
MMP24OS	A0A0U1RRL7
GTSE1	Q9NYZ3
FAM183A	A6NL82
OVCH2	Q7RTZ1
OVCH1	Q7RTY7
FLG2	Q5D862
SPPL2A	Q8TCT8
SPPL2C	Q8IUH8
SPPL2B	Q8TCT7
MYO3A	Q8NEV4
ITGA9	Q13797
UGCG	Q16739
MYO3B	Q8WXR4
WDR93	Q6P2C0
ATP2A1	O14983
ATP2A2	P16615
ATP2A3	Q93084
HSD11B1L	Q7Z5J1
ITGA2	P17301
NOP2	P46087
ITGA4	P13612
RIT2	Q99578
RIT1	Q92963
ITGA7	Q13683
TRHR	P34981
LOC285556	D6RIA3
DENND4A	Q7Z401
DENND4B	O75064
DENND4C	Q5VZ89
ELL3	Q9HB65
SWAP70	Q9UH65
RARRES1	P49788
PHLDA1	Q8WV24
PHLDA3	Q9Y5J5
PHLDA2	Q53GA4
TACO1	Q9BSH4
GAP43	P17677
IGHV1OR21-1	A0A087WYE8
PAMR1	Q6UXH9
SQLE	Q14534
C9orf40	Q8IXQ3
FBXL13	Q8NEE6
FBXL12	Q9NXK8
HRH2	P25021
CYP27B1	O15528
FBXL17	Q9UF56
HRH1	P35367
FBXL19	Q6PCT2
FBXL18	Q96ME1
ACVRL1	P37023
FAM169B	Q8N8A8
GHDC	Q8N2G8
TRGJ2	A0A075B6S0
DNAH10OS	P0CZ25
SDK1	Q7Z5N4
SDK2	Q58EX2
KIRREL3-AS3	Q8N7Y1
GRP	P07492
TPRN	Q4KMQ1
THSD4	Q6ZMP0
SZRD1	Q7Z422
HPCAL4	Q9UM19
CCDC179	H3BU77
FAM212A	Q96EL1
CHST9	Q7L1S5
SLC35D3	Q5M8T2
COL4A5	P29400
COL4A4	P53420
COL4A3	Q01955
COL4A2	P08572
COL4A1	P02462
SLC35D2	Q76EJ3
CHST1	O43916
CHST3	Q7LGC8
CHST2	Q9Y4C5
CHST5	Q9GZS9
CHST4	Q8NCG5
CHST7	Q9NS84
CHST6	Q9GZX3
ITGAX	P20702
OR8J1	Q8NGP2
LIAT1	Q6ZQX7
BCL2A1	Q16548
HLCS	P50747
NOG	Q13253
KIF2A	O00139
ITGAV	P06756
COX7C	P15954
ZNF703	Q9H7S9
ITGAL	P20701
ITGAM	P11215
LINC00173	Q6ZV60
HLF	Q16534
